Latin,English,Part of Speech
"grātus, -a, -um",pleasing,Adjective
"habeō, habēre, habuī, habitum",to have,Verb
"hic, haec, hoc","this (guy, gal, thing)",Pronoun
"hiems, hiemis, f.","winter, storm",Noun
"homō, hominis, m.","person, human being",Noun
"hostis, hostis, m.",enemy (of the state),Noun
"humilis, -e","low, humble, lowly",Adjective
iam,"now, already",Adverb
igitur,"therefore, then",Conjunction
"ignis, ignis, m.","fire, flame",Noun
"ignōminia, -ae, f.","disgrace, dishonor, shame",Noun
"ille, illa, illud","that (guy, gal, thing); he/she/it",Pronoun
"imāgō, imāginis, f.",image,Noun
"immortālis, immortāle",immortal,Adjective
"imperātor, imperātōris, m.","general (later ""emperor"", once there is one)",Noun
"imperium, imperiī, n.",the legal authority of Roman magistrates to inflict violence on citizens; the legal authority of Rome to inflict violence on its provinces,Noun
"imperō, imperāre, imperāvī, imperātum (+dat.)","to order, command",Verb
"impetus, impetūs, m.","attack, charge",Noun
in,"in, on; into, onto",Preposition
"incipiō, incipiere, incēpī, inceptum",to begin,Verb
"incitō, incitāre, incitāvī, incitātum","to urge on, incite",Verb
"inermis, -e","unarmed, defenseless",Adjective
"īnferī, -ōrum, m. pl.",the underworld,Noun
"ingēns, ingentis","huge, vast",Adjective
"inimīcus, -a, -um","unfriendly, hostile",Adjective
"iniūstus, -a, -um","unfair, unjust",Adjective
"inquam, -, -, -",to say,Verb
"intelligō, intelligere, intellēxī, intellēctum",to understand,Verb
inter (+ acc.),"between, among",Preposition
"interficiō, interficere, interfēcī, interfectum",to kill,Verb
"is, ea, id","he, she, it; this, that",Pronoun
itaque,therefore,Conjunction
"iter, itineris, n.",journey,Noun
iterum,again,Adverb
"iubeō, iubēre, iussī, iussum","to bid, order",Verb
"iugum, -ī, n.",yoke; ridge,Noun
"iustus, iusta, iustum","just, fair",Adjective
"lēgātus, -ī, m.","envoy, ambassador",Noun
"legō, legere, lēgī, lēctum",to read,Verb
"lēx, lēgis, f.",law,Noun
"līber, librī, m.",book,Noun
"līberō, līberāre, līberāvī, līberātum",to free,Verb
"lībertās, lībertātis, f.","freedom, liberty",Noun
"lictor, lictōris, m.",lictor (attendant and bodyguard of a magistrate),Noun
"ligō, ligāre, ligāvī, ligātum","to tie, bind",Verb
"longus, -a, -um","long, far",Adjective
"maestus, -a, -um","sad, gloomy",Adjective
"maneō, manēre, mānsī, mānsum","to stay, wait",Verb
"mare, maris, n.",sea,Noun
"medius, -a, -um","middle, central",Adjective
"memoria, memoriae, f.",memory,Noun
"mēnsis, mēnsis, m.",month,Noun
"meus, mea, meum","my, mine",Adjective
"mīles, mīlitis, m.",soldier,Noun
"mille; (plural) mīlia, mīlium",thousand(s),Numeral
"miserrimus, miserrima, miserrimum","most miserable, very sad",Adjective
"mittō, mittere, mīsī, mīsum",to send,Verb
"mittō, mitttere, mīsī, mīsum",to send,Verb
"mōns, montis, m.",mountain,Noun
"mora, morae, f.",delay,Noun
moritūrī essent,were about to die,Verb
"mors, mortis, f.",death,Noun
"mortālis, mortāle",mortal,Adjective
"moveō, movēre, mōvī, mōtum",to move,Verb
mox,soon,Adverb
"multus, multa, multum","much, many",Adjective
"mūtō, mūtāre, mūtāvī, mūtātum",to change,Verb
"nārrō, nārrāre, nārrāvī, nārrātum","to tell, narrate",Verb
"natūra, natūrae, f.",nature,Noun
"nātus, nātī, m.","son (literally ""born one"")",Noun
"nāvis, nāvis, f.",ship,Noun
necesse,necessary,Adjective
"necō, necāre, necāvī, necātum",to kill,Verb
"nihil, n.",nothing,Noun
nōlī / nōlīte (+ infinitive),don't...!,Other
"nōlō, nōlle, nōluī, -","to not want, to be unwilling",Verb
nōn,not,Adverb
nōn iam,no longer,Adverb
"nōs, nostrum/nostrī, nōbīs, nōs, nōbīs","we, of us, to/for us, us, by/with us",Pronoun
"noster, nostra, nostrum",our,Adjective
novem,9,Numeral
"nūllus, -a, -um","not any, no",Adjective
numquam,never,Adverb
"nūntius, -ī, m.",messenger,Noun
"oblīviscor, oblīviscī, oblītus sum",to forget,Verb
"obses, obsidis, m./f.",hostage,Noun
"occupō, occupāre, occupāvī, occupātum","take possession of, seize, obtain",Verb
octō,8,Numeral
"oculus, -ī, m.",eye,Noun
ōlim,"once, formerly",Adverb
omnīnō,"altogether, completely",Adverb
"omnis, omne","all, every",Adjective
paene,almost,Adverb
"palūdāmentum, -ī, n.",military cloak,Noun
"pālus, -ī, m.","stake, post",Noun
"pars, partis, f.",part,Noun
"parvus, -a, -um",small,Adjective
"pāstor, pāstōris, m.",shepherd,Noun
"pater, patris, m.",father,Noun
"patria, patriae, f.","fatherland, country",Noun
"paucus, -a, -um","few, a few",Adjective
"pāx, pācis, f.",peace,Noun
"pecūnia, pecūniae, f.",money,Noun
"pedēs, peditis",footsoldier,Noun
"perīculum, perīculī, n.",danger!,Noun
"perterritus, -a, -um",terrified,Adjective
"perveniō, pervenīre, pervēnī, perventum","come all the way through, arrive",Verb
"petō, petere, petīvī/petiī, petītum","to seek, to look for",Verb
"plaustrum, -ī, n.","wagon, cart",Noun
"plēnus, -a, -um (+ gen.)","full, full of",Adjective
"poena, poenae, f.",punishment,Noun
"pōnō, pōnere, posuī, positum","to put, to place",Verb
"populus, populī, m.",the people (as a single entity),Noun
"possum, posse, potuī, -","to be able, can",Verb
post,after,Preposition
posteā,after that,Adverb
postquam,after (as a conjunction),Conjunction
postrīdiē,on the following day,Adverb
"postulō, postulāre, postulāvī, postulātum",to demand,Verb
